ml_generate_text_llm_result,social_media_source,review_text,customer_id,location_id,review_datetime
"```json
{
  ""keywords"": [""coffee"", ""great""]
}
```
",Facebook,Great coffee,3498,1,2024-11-10T12:57:10
"```json
{
  ""keywords"": [""location"", ""delicious"", ""coffee""]
}
```
",Facebook,Good location and delicious coffee,3174,1,2024-02-05T18:02:10
"```json
{
  ""keywords"": [""coffee"", ""fresh brewed"", ""barista"", ""friendly"", ""regular stop""]
}
```
",Facebook,I enjoyed my fresh brewed coffee.  The barista was very friendly.  I will make this a regular stop.,5634,1,2024-06-07T07:48:10
"```json
{
  ""keywords"": [""great service"", ""coffee"", ""milk alternatives"", ""variety""]
}
```
",Facebook,The service was great and the coffee was even better. I especially liked the variety of milk alternatives.,4364,1,2024-03-10T23:41:10
"```json
{
  ""keywords"": [""coffee"", ""friendly staff"", ""go again""]
}
```
",Facebook,"Great coffee and friendly staff, will definitely go again.",9464,1,2024-05-15T23:07:10
"```json
{
  ""keywords"": [""service"", ""great"", ""staff"", ""friendly"", ""helpful"", ""coffee"", ""made"", ""way""]
}
```
",Facebook,"The service at this location was great. The staff was friendly and helpful, and they made sure my coffee was made just the way I liked it.",4433,1,2024-06-26T10:23:10
"```json
{
  ""keywords"": [""great experience"", ""short wait time"", ""friendly staff"", ""fast"", ""brewed coffee"", ""delicious"", ""cozy atmosphere"", ""relax"", ""positive experience"", ""recommend""]
}
```
",Facebook,"I had a great experience at this location! The wait time was short, and the staff were friendly and fast. I ordered a brewed coffee and it was delicious. The seating area has a cozy atmosphere and is a nice place to relax. Overall, I had a positive experience and would recommend this location.",8399,1,2024-09-06T15:07:10
"```json
{
  ""keywords"": [""coffee truck"", ""amazing"", ""staff"", ""friendly"", ""welcoming"", ""coffee"", ""fresh"", ""delicious"", ""relax"", ""enjoy""]
}
```
",Facebook,"This coffee truck is amazing! The staff are always so friendly and welcoming, and the coffee is always fresh and delicious. I love coming here to relax and enjoy a cup of coffee.",2274,1,2024-12-26T11:43:10
"```json
{
  ""keywords"": [""coffee truck"", ""great experience"", ""good service"", ""short wait time"", ""delicious coffee"", ""come back""]
}
```
",Facebook,"I had a great experience at this coffee truck. The service was good, the wait time was short and the coffee was delicious. I would definitely come back.",8452,1,2024-02-05T15:41:10
"```json
{
  ""keywords"": [""great service"", ""amazing coffee"", ""wonderful place""]
}
```
",Facebook,The service was great. The coffee was amazing. The place was wonderful.,7091,1,2024-02-18T07:00:10
